,LOT,Margin,SYMBOL,,,
MARICO.NS,1200,632520,MARICO.NS,,MARICO LIMITED (XNSE:MARICO), ₹ 527.10 
METROPOLIS.NS,400,579840,METROPOLIS.NS,,METROPOLIS HEALTHCARE LIMITED (XNSE:METROPOLIS)," ₹ 1,449.60 "
ASIANPAINT.NS,200,668630,ASIANPAINT.NS,,ASIAN PAINTS LIMITED (XNSE:ASIANPAINT)," ₹ 3,343.15 "
BAJAJFINSV.NS,500,798900,BAJAJFINSV.NS,,Bajaj Finserv Limited (XNSE:BAJAJFINSV)," ₹ 1,597.80 "
CIPLA.NS,650,660855,CIPLA.NS,,CIPLA LIMITED (XNSE:CIPLA)," ₹ 1,016.70 "
MRF.NS,10,1006028.5,MRF.NS,,MRF LIMITED (XNSE:MRF)," ₹ 1,00,602.85 "
EXIDEIND.NS,3600,903960,EXIDEIND.NS,,EXIDE INDUSTRIES LIMITED (XNSE:EXIDEIND), ₹ 251.10 
MUTHOOTFIN.NS,550,690442.5,MUTHOOTFIN.NS,,MUTHOOT FINANCE LIMITED (XNSE:MUTHOOTFIN)," ₹ 1,255.35 "
NAVINFLUOR.NS,150,669412.5,NAVINFLUOR.NS,,NAVIN FLUORINE INTERNATIONAL LIMITED (XNSE:NAVINFLUOR)," ₹ 4,462.75 "
TCS.NS,175,572591.25,TCS.NS,,TATA CONSULTANCY SERVICES LIMITED (XNSE:TCS)," ₹ 3,271.95 "
TECHM.NS,600,688290,TECHM.NS,,TECH MAHINDRA LIMITED (XNSE:TECHM)," ₹ 1,147.15 "
TRENT.NS,400,670660,TRENT.NS,,TRENT LIMITED (XNSE:TRENT)," ₹ 1,676.65 "
TVSMOTOR.NS,700,916475,TVSMOTOR.NS,,TVS MOTOR COMPANY LIMITED (XNSE:TVSMOTOR)," ₹ 1,309.25 "
NESTLEIND.NS,40,903210,NESTLEIND.NS,,NESTLE INDIA LIMITED (XNSE:NESTLEIND)," ₹ 22,580.25 "
WIPRO.NS,1500,584925,WIPRO.NS,,WIPRO LIMITED (XNSE:WIPRO), ₹ 389.95 
NTPC.NS,3000,574650,NTPC.NS,,NTPC LIMITED (XNSE:NTPC), ₹ 191.55 
OBEROIRLTY.NS,700,712565,OBEROIRLTY.NS,,OBEROI REALTY LIMITED (XNSE:OBEROIRLTY)," ₹ 1,017.95 "
ONGC.NS,3850,626587.5,ONGC.NS,,OIL AND NATURAL GAS CORPORATION LIMITED (XNSE:ONGC), ₹ 162.75 
CHAMBLFERT.NS,1900,520315,CHAMBLFERT.NS,,CHAMBAL FERTILISERS AND CHEMICALS LIMITED (XNSE:CHAMBLFERT), ₹ 273.85 
PETRONET.NS,3000,685650,PETRONET.NS,,PETRONET LNG LIMITED (XNSE:PETRONET), ₹ 228.55 
PIDILITIND.NS,250,648962.5,PIDILITIND.NS,,PIDILITE INDUSTRIES LIMITED (XNSE:PIDILITIND)," ₹ 2,595.85 "
PNB.NS,16000,969600,PNB.NS,,Punjab National Bank (XNSE:PNB), ₹ 60.60 
POWERGRID.NS,2700,675000,POWERGRID.NS,,POWER GRID CORPORATION OF INDIA LIMITED (XNSE:POWERGRID), ₹ 250.00 
RAMCOCEM.NS,850,783020,RAMCOCEM.NS,,THE RAMCO CEMENTS LIMITED (XNSE:RAMCOCEM), ₹ 921.20 
RBLBANK.NS,5000,926500,RBLBANK.NS,,RBL BANK LIMITED (XNSE:RBLBANK), ₹ 185.30 
RECLTD.NS,8000,1335200,RECLTD.NS,,REC LIMITED (XNSE:RECLTD), ₹ 166.90 
RELIANCE.NS,250,683762.5,RELIANCE.NS,,RELIANCE INDUSTRIES LIMITED (XNSE:RELIANCE)," ₹ 2,735.05 "
SAIL.NS,8000,720400,SAIL.NS,,STEEL AUTHORITY OF INDIA LIMITED (XNSE:SAIL), ₹ 90.05 
SBIN.NS,1500,888900,SBIN.NS,,State Bank of India (XNSE:SBIN), ₹ 592.60 
SHREECEM.NS,25,600432.5,SHREECEM.NS,,SHREE CEMENT LIMITED (XNSE:SHREECEM)," ₹ 24,017.30 "
SHRIRAMFIN.NS,600,1033920,SHRIRAMFIN.NS,,SHRIRAM FINANCE LIMITED (XNSE:SHRIRAMFIN)," ₹ 1,723.20 "
SRF.NS,375,820425,SRF.NS,,SRF LIMITED (XNSE:SRF)," ₹ 2,187.80 "
SUNPHARMA.NS,700,731500,SUNPHARMA.NS,,SUN PHARMACEUTICAL INDUSTRIES LIMITED (XNSE:SUNPHARMA)," ₹ 1,045.00 "
COALINDIA.NS,4200,981750,COALINDIA.NS,,COAL INDIA LTD (XNSE:COALINDIA), ₹ 233.75 
CUB.NS,5000,642750,CUB.NS,,CITY UNION BANK LIMITED (XNSE:CUB), ₹ 128.55 
SYNGENE.NS,1000,757550,SYNGENE.NS,,SYNGENE INTERNATIONAL LIMITED (XNSE:SYNGENE), ₹ 757.55 
TATACHEM.NS,550,547965,TATACHEM.NS,,TATA CHEMICALS LIMITED (XNSE:TATACHEM), ₹ 996.30 
TATACOMM.NS,500,766150,TATACOMM.NS,,Tata Communications Limited (XNSE:TATACOMM)," ₹ 1,532.30 "
TATACONSUM.NS,900,743085,TATACONSUM.NS,,TATA CONSUMER PRODUCTS LIMITED (XNSE:TATACONSUM), ₹ 825.65 
TATAMOTORS.NS,1425,881576.25,TATAMOTORS.NS,,TATA MOTORS LIMITED (XNSE:TATAMOTORS), ₹ 618.65 
TATAPOWER.NS,3375,759375,TATAPOWER.NS,,THE TATA POWER COMPANY LIMITED (XNSE:TATAPOWER), ₹ 225.00 
TITAN.NS,375,1142081.25,TITAN.NS,,TITAN COMPANY LIMITED (XNSE:TITAN)," ₹ 3,045.55 "
TORNTPHARM.NS,500,955975,TORNTPHARM.NS,,TORRENT PHARMACEUTICALS LTD (XNSE:TORNTPHARM)," ₹ 1,911.95 "
UBL.NS,400,593300,UBL.NS,,UNITED BREWERIES LIMITED (XNSE:UBL)," ₹ 1,483.25 "
ULTRACEMCO.NS,100,835135,ULTRACEMCO.NS,,ULTRATECH CEMENT LIMITED (XNSE:ULTRACEMCO)," ₹ 8,351.35 "
UPL.NS,1300,858130,UPL.NS,,UPL LIMITED (XNSE:UPL), ₹ 660.10 
VOLTAS.NS,600,454830,VOLTAS.NS,,VOLTAS LIMITED (XNSE:VOLTAS), ₹ 758.05 
ZEEL.NS,3000,604500,ZEEL.NS,,Zee Entertainment Enterprises Limited (XNSE:ZEEL), ₹ 201.50 
ZYDUSLIFE.NS,1800,1046880,ZYDUSLIFE.NS,,ZYDUS LIFESCIENCES LIMITED (XNSE:ZYDUSLIFE), ₹ 581.60 
INDUSINDBK.NS,500,683500,INDUSINDBK.NS,,INDUSIND BANK LTD. (XNSE:INDUSINDBK)," ₹ 1,367.00 "
ACC.NS,300,538410,ACC.NS,,ACC Limited (XNSE:ACC)," ₹ 1,794.70 "
BAJAJ-AUTO.NS,250,1224487.5,BAJAJ-AUTO.NS,,BAJAJ AUTO LIMITED. (XNSE:BAJAJ-AUTO)," ₹ 4,897.95 "
HINDUNILVR.NS,300,796965,HINDUNILVR.NS,,HINDUSTAN UNILEVER LIMITED (XNSE:HINDUNILVR)," ₹ 2,656.55 "
BIOCON.NS,2500,636750,BIOCON.NS,,BIOCON LIMITED (XNSE:BIOCON), ₹ 254.70 
JINDALSTEL.NS,1250,782937.5,JINDALSTEL.NS,,JINDAL STEEL AND POWER LIMITED (XNSE:JINDALSTEL), ₹ 626.35 
JSWSTEEL.NS,1350,1094310,JSWSTEEL.NS,,JSW Steel Limited (XNSE:JSWSTEEL), ₹ 810.60 
CONCOR.NS,1000,671650,CONCOR.NS,,CONTAINER CORPORATION OF INDIA LIMITED (XNSE:CONCOR), ₹ 671.65 
NMDC.NS,4500,485100,NMDC.NS,,NMDC LIMITED (XNSE:NMDC), ₹ 107.80 
POLYCAB.NS,300,1064010,POLYCAB.NS,,POLYCAB INDIA LIMITED (XNSE:POLYCAB)," ₹ 3,546.70 "
SIEMENS.NS,275,1003048.75,SIEMENS.NS,,SIEMENS LIMITED (XNSE:SIEMENS)," ₹ 3,647.45 "
HDFC.NS,300,829635,HDFC.NS,,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED (XNSE:HDFC)," ₹ 2,765.45 "
MCX.NS,400,630620,MCX.NS,,MULTI COMMODITY EXCHANGE OF INDIA LIMITED (XNSE:MCX)," ₹ 1,576.55 "
JUBLFOOD.NS,1250,601875,JUBLFOOD.NS,,Jubilant FoodWorks Limited (XNSE:JUBLFOOD), ₹ 481.50 
MGL.NS,800,880000,MGL.NS,,MAHANAGAR GAS LIMITED (XNSE:MGL)," ₹ 1,100.00 "
MOTHERSON.NS,7100,644680,MOTHERSON.NS,,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED (XNSE:MOTHERSON), ₹ 90.80 
PVRINOX.NS,407,578631.9,PVRINOX.NS,,PVR INOX LIMITED (XNSE:PVRINOX)," ₹ 1,421.70 "
SUNTV.NS,1500,690900,SUNTV.NS,,SUN TV NETWORK LIMITED (XNSE:SUNTV), ₹ 460.60 
ITC.NS,1600,745360,ITC.NS,,ITC LIMITED (XNSE:ITC), ₹ 465.85 
CANBK.NS,2700,901800,CANBK.NS,,THE CANARA BANK LIMITED (XNSE:CANBK), ₹ 334.00 
GODREJPROP.NS,475,747507.5,GODREJPROP.NS,,GODREJ PROPERTIES LIMITED (XNSE:GODREJPROP)," ₹ 1,573.70 "
GRANULES.NS,2000,620100,GRANULES.NS,,GRANULES INDIA LIMITED (XNSE:GRANULES), ₹ 310.05 
HDFCAMC.NS,300,674625,HDFCAMC.NS,,HDFC ASSET MANAGEMENT COMPANY LIMITED (XNSE:HDFCAMC)," ₹ 2,248.75 "
ICICIBANK.NS,700,663880,ICICIBANK.NS,,ICICI BANK LIMITED (XNSE:ICICIBANK), ₹ 948.40 
IDEA.NS,80000,592000,IDEA.NS,,VODAFONE IDEA LIMITED (XNSE:IDEA), ₹ 7.40 
MANAPPURAM.NS,6000,789900,MANAPPURAM.NS,,MANAPPURAM FINANCE LIMITED (XNSE:MANAPPURAM), ₹ 131.65 
PEL.NS,750,705262.5,PEL.NS,,Piramal Enterprises Limited (XNSE:PEL), ₹ 940.35 
PFC.NS,6200,1391900,PFC.NS,,POWER FINANCE CORPORATION LIMITED (XNSE:PFC), ₹ 224.50 
TATASTEEL.NS,5500,634150,TATASTEEL.NS,,TATA STEEL LIMITED (XNSE:TATASTEEL), ₹ 115.30 
VEDL.NS,2000,564500,VEDL.NS,,Vedanta Limited (XNSE:VEDL), ₹ 282.25 
^NSEBANK,15,,^NSEBANK,,,
^NSEI,75,,^NSEI,,,
NIFTY_FIN_SERVICE.NS,40,,NIFTY_FIN_SERVICES.NS,,,
^CNXIT,,,^CNXIT,,,
^CNXFMCG,,,^CNXFMCG,,,
